# x, time in miliseconds from anomaly
# y, highest frequency in range 14.000 14.500
0 13.992 
10.67 14.133 
32 14.016 
42.67 13992 
64 14.133 
74.67 14.227 
85.33 14.109 
96 13992 
117.33 14.156 
128 14.016 
149.33 14.227 
160 14.227 
170.67 13992 
181.33 13992 
192 14.039 
202.67 13992 
